"","case","year","month","date","time","location","age","race","gender","type","history","history_num","bond","detention","trial","trial_status","result"
"1",1,2022,4,2022-04-14,"After","Other Place",24,"Latinx","Male","Violent",1,6,9000,116,FALSE,"n/a","Dismissed"
"2",2,2018,2,2018-02-02,"Before","Other Place",56,"Black","Male","B",1,8,4000,49,FALSE,"n/a","Guilty Plea"
"3",3,2020,7,2020-07-25,"After","Other Place",43,"Black","Female","A",1,2,2000,105,FALSE,"n/a","Dismissed"
"4",4,2017,9,2017-09-24,"Before","Harris County",37,"Black","Male","B",0,1,500,344,TRUE,"Detained","Acquitted"
"5",5,2018,4,2018-04-21,"Before","Other Place",21,"White","Male","Violent",0,1,1500,29,FALSE,"n/a","Dismissed"
"6",6,2021,3,2021-03-14,"After","Harris County",39,"White","Female","Violent",1,9,0,1,FALSE,"n/a","Guilty Plea"
"7",7,2020,4,2020-04-24,"After","Harris County",37,"White","Male","B",1,7,0,1,FALSE,"n/a","Dismissed"
"8",8,2018,3,2018-03-01,"Before","Harris County",29,"Black","Male","B",1,4,2000,7,FALSE,"n/a","Guilty Plea"
"9",9,2017,12,2017-12-20,"Before","Other Place",26,"White","Male","B",1,7,3500,82,FALSE,"n/a","Guilty Plea"
"10",10,2021,7,2021-07-22,"After","Harris County",32,"Black","Female","A",1,2,0,1,TRUE,"Released","Acquitted"
"11",11,2022,12,2022-12-25,"After","Harris County",38,"Black","Male","Violent",1,5,0,1,TRUE,"Released","Acquitted"
"12",12,2019,11,2019-11-15,"Before","Other Place",21,"White","Male","B",1,2,1000,8,FALSE,"n/a","Dismissed"
"13",13,2017,3,2017-03-30,"Before","Harris County",32,"Other","Male","B",1,5,2500,15,FALSE,"n/a","Guilty Plea"
"14",14,2017,12,2017-12-11,"Before","Harris County",33,"Black","Male","B",1,3,1500,89,FALSE,"n/a","Dismissed"
"15",15,2021,7,2021-07-25,"After","Harris County",33,"White","Male","Violent",1,6,0,1,FALSE,"n/a","Guilty Plea"
"16",16,2020,7,2020-07-23,"After","Harris County",29,"Black","Male","Violent",1,5,0,1,FALSE,"n/a","Dismissed"
"17",17,2018,2,2018-02-28,"Before","Harris County",35,"Black","Male","B",1,10,5000,6,FALSE,"n/a","Guilty Plea"
"18",18,2018,7,2018-07-09,"Before","Other Place",28,"Black","Male","A",1,3,3000,39,FALSE,"n/a","Guilty Plea"
"19",19,2022,10,2022-10-02,"After","Harris County",22,"Black","Male","Violent",0,1,0,1,TRUE,"Released","Acquitted"
"20",20,2019,3,2019-03-23,"Before","Harris County",30,"Black","Male","A",1,3,3000,50,FALSE,"n/a","Guilty Plea"
"21",21,2021,5,2021-05-11,"After","Other Place",46,"White","Male","Violent",1,6,9000,8,FALSE,"n/a","Dismissed"
"22",22,2018,10,2018-10-08,"Before","Harris County",47,"White","Male","B",0,1,500,65,FALSE,"n/a","Guilty Plea"
"23",23,2020,8,2020-08-12,"After","Other Place",35,"White","Male","Violent",1,8,10000,10,FALSE,"n/a","Guilty Plea"
"24",24,2018,3,2018-03-02,"Before","Harris County",42,"Other","Male","B",1,2,1000,18,FALSE,"n/a","Guilty Plea"
"25",25,2021,3,2021-03-20,"After","Other Place",30,"Black","Female","A",1,5,5000,102,FALSE,"n/a","Guilty Plea"
"26",26,2018,3,2018-03-12,"Before","Harris County",27,"Black","Male","B",1,3,1500,1,FALSE,"n/a","Guilty Plea"
"27",27,2021,10,2021-10-29,"After","Other Place",36,"White","Male","A",1,3,3000,46,FALSE,"n/a","Guilty Plea"
"28",28,2018,12,2018-12-26,"Before","Other Place",32,"White","Male","Violent",1,2,3000,1,FALSE,"n/a","Dismissed"
"29",29,2022,11,2022-11-16,"After","Harris County",40,"Black","Male","Violent",1,14,0,1,FALSE,"n/a","Guilty Plea"
"30",30,2021,4,2021-04-20,"After","Harris County",39,"Black","Male","B",1,4,0,1,FALSE,"n/a","Guilty Plea"
"31",31,2018,4,2018-04-30,"Before","Harris County",47,"Latinx","Male","Violent",1,4,6000,3,FALSE,"n/a","Guilty Plea"
"32",32,2022,9,2022-09-10,"After","Other Place",33,"Black","Male","B",0,1,500,1,FALSE,"n/a","Guilty Plea"
"33",33,2021,9,2021-09-27,"After","Other Place",42,"Black","Male","A",1,9,5000,31,FALSE,"n/a","Guilty Plea"
"34",34,2017,7,2017-07-02,"Before","Harris County",42,"White","Male","Violent",0,1,1500,57,FALSE,"n/a","Dismissed"
"35",35,2018,2,2018-02-01,"Before","Harris County",31,"White","Male","Violent",0,1,1500,19,FALSE,"n/a","Guilty Plea"
"36",36,2017,4,2017-04-04,"Before","Harris County",34,"Latinx","Female","B",1,6,3000,78,FALSE,"n/a","Guilty Plea"
"37",37,2020,12,2020-12-08,"After","Harris County",43,"Black","Female","B",1,2,0,1,FALSE,"n/a","Guilty Plea"
"38",38,2020,4,2020-04-22,"After","Other Place",22,"Black","Male","B",1,3,1500,6,FALSE,"n/a","Guilty Plea"
"39",39,2017,2,2017-02-28,"Before","Harris County",22,"Black","Female","B",1,3,1500,29,FALSE,"n/a","Dismissed"
"40",40,2022,4,2022-04-04,"After","Other Place",28,"White","Male","B",0,1,500,50,FALSE,"n/a","Guilty Plea"
"41",41,2022,8,2022-08-22,"After","Harris County",26,"White","Female","B",0,1,0,1,FALSE,"n/a","Dismissed"
"42",42,2021,9,2021-09-02,"After","Other Place",28,"Black","Male","Violent",1,4,6000,1,FALSE,"n/a","Dismissed"
