"id","date","age","gender","woman","race","race_num","social","esteem"
1,2019-01-18,23,"Woman",1,"White",3,5,2
2,2019-02-04,20,"Man",0,"Other",4,1,4
3,2019-09-02,20,"Woman",1,"Black",1,10,1
4,2017-10-05,30,"Woman",1,"Black",1,10,1
5,2022-08-05,19,"Woman",1,"Black",1,10,1
6,2020-09-04,17,"Man",0,"Black",1,9,4
7,2018-05-19,27,"Woman",1,"White",3,10,1
8,2020-01-21,24,"Woman",1,"Black",1,10,1
9,2019-06-02,19,"Woman",1,"Latinx",2,9,1
10,2020-11-04,24,"Man",0,"Latinx",2,10,1
11,2019-03-17,24,"Man",0,"White",3,6,5
12,2021-06-16,22,"Man",0,"Black",1,9,3
13,2019-02-03,17,"Man",0,"Black",1,10,4
14,2019-06-14,25,"Woman",1,"Black",1,10,1
15,2022-11-12,24,"Man",0,"White",3,7,7
16,2019-06-18,20,"Man",0,"White",3,5,9
17,2017-08-06,19,"Woman",1,"Latinx",2,10,1
18,2017-01-08,18,"Woman",1,"White",3,5,3
19,2021-03-17,22,"Man",0,"Black",1,5,6
20,2022-05-19,18,"Man",0,"Black",1,7,3
21,2022-06-22,18,"Woman",1,"White",3,10,1
22,2019-09-26,25,"Man",0,"White",3,10,10
23,2021-01-04,18,"Woman",1,"Latinx",2,10,1
24,2017-03-09,22,"Man",0,"Black",1,10,1
25,2020-02-26,16,"Man",0,"White",3,4,7
26,2017-05-11,20,"Woman",1,"White",3,4,2
27,2020-05-29,20,"Woman",1,"White",3,4,5
28,2018-08-12,16,"Man",0,"White",3,10,5
29,2020-01-19,23,"Man",0,"Other",4,2,5
30,2020-12-26,19,"Man",0,"White",3,6,9
31,2022-05-22,17,"Man",0,"Black",1,10,3
32,2022-09-04,23,"Woman",1,"White",3,10,3
33,2018-11-02,22,"Man",0,"Black",1,8,6
34,2022-03-22,19,"Woman",1,"White",3,6,3
35,2017-03-26,21,"Man",0,"Latinx",2,4,5
36,2017-03-16,21,"Woman",1,"Black",1,10,1
37,2019-06-19,16,"Woman",1,"Black",1,10,1
38,2021-12-15,21,"Woman",1,"Black",1,10,1
39,2019-05-03,22,"Woman",1,"Latinx",2,9,1
40,2017-01-19,23,"Man",0,"Black",1,9,6
41,2020-12-09,22,"Woman",1,"White",3,10,3
42,2017-08-31,20,"Man",0,"Latinx",2,1,6
43,2021-05-20,25,"Woman",1,"White",3,9,5
44,2019-07-07,25,"Woman",1,"White",3,1,6
45,2021-10-23,25,"Woman",1,"Black",1,10,1
46,2021-11-14,23,"Man",0,"Black",1,6,5
47,2022-01-19,19,"Man",0,"Black",1,7,3
48,2017-01-02,23,"Woman",1,"Black",1,10,1
49,2018-09-06,18,"Man",0,"Latinx",2,7,4
50,2019-11-07,20,"Woman",1,"White",3,2,2
