gpa,gre,camp,grade
3.55,152,0,66
3.49,144,0,57
3.82,149,0,72
3.65,141,1,72
3.48,152,0,68
3.42,140,1,73
3.21,146,1,67
3.46,158,1,75
3.6,155,0,69
3.68,145,0,61
3.38,148,1,73
3.46,160,1,80
3.82,147,1,83
3.39,147,1,73
3.3,154,0,68
3.08,155,0,61
3.28,156,1,78
3.26,159,0,63
3.75,158,0,75
3.45,154,0,70
3.29,162,1,86
3.38,153,1,80
3.49,161,0,69
3.39,138,1,63
3.48,153,1,77
3.59,152,0,61
3.45,153,0,65
3.55,156,0,71
3.33,149,0,60
3.21,157,0,62
3.83,152,1,80
3.34,152,0,66
3.43,155,0,69
3.58,153,0,75
3.12,148,0,55
3.98,151,0,72
3.29,149,0,66
3.51,156,1,84
3.61,155,0,68
3.14,143,1,68
3.12,142,1,72
3.85,147,1,79
3.72,152,0,70
3.31,155,0,62
3.27,151,0,64
3.83,155,1,82
3.21,141,0,60
3.35,147,1,75
3.14,150,1,82
3.09,144,0,59
3.47,147,0,66
3.53,159,1,75
3.89,151,0,71
3.73,168,0,74
3.76,151,1,80
2.99,131,1,62
3.42,138,0,62
3.52,142,1,80
3.29,153,1,73
3.59,156,0,69
3.44,147,1,74
3.82,147,1,77
3.45,151,1,80
3.44,147,0,60
2.87,141,0,61
3.42,143,1,74
3.68,144,0,63
3.45,153,0,58
3.27,151,0,66
3.21,148,0,58
3.55,143,1,74
3.5,152,1,78
3.46,156,1,76
3.44,148,1,72
3.24,143,1,63
3.65,148,0,57
3.34,145,1,74
3.35,153,1,75
3.5,156,0,65
3.43,133,0,52
3.35,142,1,76
3.72,152,1,83
3.01,145,0,60
3.73,164,0,72
3.99,150,0,69
3.51,146,1,78
3.77,154,1,85
3.57,145,1,77
3.54,146,1,75
3.5,146,1,68
3.85,153,0,72
3.13,146,0,52
3.43,148,1,59
3.13,146,0,57
3.49,149,1,70
3.16,143,1,61
3.67,148,1,82
3.68,148,0,65
3.56,150,0,60
3.34,153,1,70
3.46,146,0,53
3.3,150,1,64
3.59,159,1,84
3.16,148,0,61
2.85,132,1,56
3.38,151,0,66
3.76,148,0,67
3.18,157,0,72
3.79,163,0,75
3.36,142,1,62
3.48,152,0,63
3.42,146,1,70
3.25,146,0,54
3.5,149,0,62
3.86,144,0,71
3.23,149,1,73
3.39,141,1,64
3.8,146,0,63
3.04,139,1,64
3.48,147,1,69
2.9,138,1,60
3.88,161,0,76
3.64,151,1,79
3.07,143,0,61
3.98,167,0,77
3.41,159,0,73
3.68,158,1,92
3.19,149,0,62
3.16,157,1,72
3.22,144,1,71
3.44,146,1,72
3.44,148,1,75
3.54,144,1,72
3.44,152,0,64
3.44,152,1,80
3.49,151,1,72
3.7,147,0,64
3.57,154,0,66
3.4,148,0,61
3.39,149,1,76
3.17,144,0,53
3.56,164,0,71
3.44,144,1,74
3.73,157,0,70
3.65,156,0,66
3.63,158,1,81
3.84,153,0,69
3.64,147,1,75
3.03,146,1,66
3.53,142,1,71
3.49,144,1,76
3.5,159,0,68
3.7,140,1,68
3.17,148,1,70
3.29,148,0,62
3.53,155,1,78
3.85,167,0,85
3.89,154,0,64
3.14,146,1,70
3.6,154,0,70
3.87,155,0,75
3.85,154,0,68
3.45,147,1,73
3.51,143,1,70
3.5,155,0,63
3.46,151,1,68
3.99,154,1,77
3.39,141,1,70
3.48,157,0,70
3.56,154,0,64
3.82,163,0,74
3.57,158,0,60
3.85,146,1,74
3.35,143,0,64
3.65,153,0,69
3.36,149,0,74
3.05,140,1,64
3.79,151,0,71
3.02,152,1,64
3.54,147,0,67
3.44,145,1,81
3.22,168,0,74
3.17,145,1,68
3.67,146,0,67
3.52,133,1,77
3.07,142,1,70
3.03,141,1,69
3.64,142,1,64
3.41,159,1,87
3.19,147,0,63
3.49,145,0,63
3.52,149,1,84
3.58,158,1,77
3.39,143,1,72
3.53,165,0,73
3.6,158,0,69
3.3,158,1,76
3.35,146,0,57
3.31,153,0,64
2.98,150,1,76
3.1,135,1,60
3.54,166,1,83
3.48,146,1,75
3.68,146,0,58
3.28,162,1,80
3.87,148,1,76
3.43,150,1,70
3.24,156,0,68
3.08,155,1,77
3.57,143,1,70
3.4,149,0,67
3.58,163,0,65
3.49,158,0,75
3.56,146,1,74
3.51,145,1,67
3.59,156,1,74
3.73,154,0,71
3.2,144,0,59
3.66,151,0,58
3.39,149,0,55
3.85,164,0,70
3.82,147,1,72
3.42,140,1,73
3.8,148,0,69
3.88,157,0,68
3.48,158,1,76
3.55,156,1,83
3.45,150,0,66
3.21,151,1,70
2.7,149,0,53
3.67,156,0,73
3.58,151,0,59
3.55,153,0,69
3.41,147,1,76
3.36,153,1,76
3.48,159,0,69
3.49,146,1,71
3.5,151,1,76
3.94,149,0,63
3.52,156,1,79
3.96,157,0,72
3.87,157,0,69
3.77,140,1,81
3.48,150,1,77
3.63,145,0,68
3.72,145,0,55
3.51,155,1,69
3.55,150,1,80
3.62,158,1,77
3.5,149,1,65
3.72,145,1,70
3.16,144,0,52
3.7,141,0,65
3.4,155,1,78
3.45,153,1,72
3.06,149,1,69
3.37,151,1,76
3.96,159,1,83
3.86,164,0,76
3.71,150,0,66
3.43,160,0,73
3.77,146,0,66
3.21,147,1,74
3.91,156,0,66
3.66,160,0,67
3.47,138,1,68
3.2,151,1,63
3.86,152,0,66
3.42,134,1,63
3.41,153,0,68
3.32,150,0,63
3.51,152,0,65
3.61,150,0,62
3.17,138,1,63
3.72,152,0,68
3.32,145,1,70
3.8,148,1,72
3.07,135,1,62
3.82,158,0,78
3.59,161,0,75
3.42,149,1,67
3.54,149,0,62
3.36,148,1,70
3.75,161,0,74
3.43,138,0,58
3.79,145,1,76
3.53,145,1,75
3.35,158,0,73
3.6,155,0,54
3.23,143,1,74
3.58,152,1,77
3.58,153,1,78
3.47,147,0,58
3.7,150,0,70
3.16,142,1,72
3.74,157,0,75
3.79,151,1,71
2.93,157,1,74
3.77,146,1,77
3.53,143,1,66
3.24,148,0,64
3.34,149,1,72
3.16,150,1,77
3.56,140,0,65
3.52,147,0,64
3.23,139,0,55
3.78,150,0,71
3.58,156,1,78
3.35,143,1,75
3.84,164,0,75
3.12,141,1,65
3.85,148,0,60
3.63,144,1,69
2.98,145,1,71
3.5,144,1,67
3.35,154,1,73
3.49,141,1,68
3.41,162,0,68
3.47,149,1,72
3.68,154,0,69
3.25,144,1,64
3.63,148,0,65
3.27,147,1,67
3.52,158,1,73
3.36,148,1,77
3.46,157,0,65
3.54,152,0,71
3.49,148,1,65
3.08,134,1,55
3.54,154,0,67
3.69,160,1,86
3.33,149,0,71
3.74,156,0,75
3.64,143,0,70
3.27,145,1,74
3.32,149,1,74
3.64,145,0,64
3.71,155,1,79
3.56,153,0,68
3.82,149,1,76
3.46,148,0,63
3.45,158,0,68
3.19,141,1,66
3.11,149,0,59
3.35,155,1,82
3.51,141,1,72
3.64,144,0,64
3.36,155,0,69
3.31,144,1,67
3.18,144,1,76
3.49,152,1,82
3.73,155,1,77
3.53,156,0,67
3.98,141,1,77
3.4,157,0,70
3.44,153,1,80
3.59,160,0,70
