gpa,gre,camp,grade
3.18,148,1,67
3.76,157,0,67
3.14,152,0,68
3.12,144,1,67
3.43,149,0,64
3.79,153,1,78
3.48,151,0,62
3.56,145,1,78
3.48,158,0,65
3.78,153,0,65
3.97,157,0,72
3.51,144,0,69
3.35,143,0,56
3.83,158,1,86
3.78,152,0,64
3.31,153,0,62
3.8,154,1,80
3.56,149,1,74
3.94,148,1,80
3.5,148,1,74
3.58,152,0,55
3.69,154,0,73
3.46,155,1,77
3.43,143,0,64
3.51,161,1,81
3.57,159,0,71
3.53,150,0,59
3.75,150,1,83
3.11,147,1,75
3.2,158,1,76
3.76,141,1,77
3.32,157,1,93
3.67,147,1,81
3.83,147,1,69
3.57,139,1,72
3.96,158,0,73
3.66,155,0,77
3.96,161,1,89
3.54,145,1,69
3.73,155,1,73
3.45,156,0,68
3.63,157,1,82
3.6,154,0,63
3.33,162,1,85
3.22,151,1,68
3.23,153,0,64
3.76,150,1,83
3.16,144,1,69
3.06,150,1,70
3.49,154,0,65
3.38,140,1,70
3.22,146,1,72
3.49,145,1,70
3.73,152,1,82
3.25,151,1,73
3.84,151,0,68
3.09,137,1,62
3.42,148,1,74
3.52,154,1,69
3.95,161,0,76
3.74,150,1,75
3.47,159,0,66
3.44,147,0,67
3.92,162,0,74
3.32,144,1,65
3.56,165,0,72
3.88,161,0,74
3.46,146,1,76
3.76,149,0,67
3.16,154,0,63
3.78,149,1,82
3.1,151,1,77
3.21,145,1,70
3.59,134,1,74
3.26,137,1,70
3.2,145,1,69
3.19,143,1,76
3.65,156,0,65
3.58,150,0,66
3.36,143,1,66
3.62,151,0,71
3.79,159,0,72
3.41,150,1,67
3.56,150,1,79
3.26,157,1,74
2.99,138,1,70
3.52,150,0,64
3.6,148,1,75
3.58,158,1,73
3.47,148,1,71
3.42,152,1,77
3.56,147,0,59
3.26,144,1,73
3.58,157,0,64
3.47,136,1,72
3.6,151,0,65
3.88,151,1,87
3.48,156,0,62
3.62,159,1,82
3.24,146,0,65
3.59,151,0,67
3.27,165,0,76
3.44,159,0,69
3.6,155,0,75
3.34,147,1,73
3.36,158,1,83
3.61,150,1,74
3.62,147,0,69
3.37,153,0,70
3.41,146,1,78
2.92,142,1,71
3.44,157,0,69
3.08,141,1,69
3.76,156,0,76
3.59,151,1,80
3.55,147,0,66
3.35,147,1,77
3.57,142,1,72
3.82,143,0,67
3.24,139,1,67
3.69,149,1,76
3.13,151,1,78
3.65,152,0,73
3.4,141,0,56
3.72,159,0,70
3.44,146,0,58
3.2,156,0,58
3.31,149,0,60
3.5,147,1,66
3.36,156,1,82
3.74,150,1,79
3.34,151,0,55
3.29,139,1,66
3.91,148,1,77
3.41,138,1,75
3.21,160,0,65
3.53,147,0,60
3.54,158,0,68
3.51,145,0,60
3.63,153,0,62
3.54,149,1,78
3.63,160,0,62
3.56,147,0,62
3.18,150,1,78
3.73,160,1,79
3.47,146,1,69
3.22,139,1,65
3.72,151,0,66
3.27,147,1,70
3.46,149,1,73
3.4,144,1,66
3.21,162,0,77
3.18,149,0,63
3.63,150,1,84
3.22,148,1,75
3.34,161,0,72
3.89,160,0,72
3.44,149,1,84
3.43,156,0,65
3.74,154,0,65
3.29,141,1,74
3.84,147,0,71
3.47,167,0,79
3.54,153,0,64
3.71,145,1,79
3.43,161,0,72
3.91,162,1,85
3.8,152,1,80
3.46,145,0,62
3.49,156,0,75
3.96,162,0,72
3.66,161,0,67
3.65,154,1,77
3.81,155,0,72
3.77,148,0,67
3.83,150,0,68
3.31,151,0,67
3.75,157,0,69
3.61,145,0,59
3.64,150,1,71
3.19,150,0,61
3.22,152,1,72
3.74,140,1,75
3.58,149,1,71
3.79,156,1,71
3.4,148,1,73
3.27,159,1,71
3.34,146,1,71
3.28,157,1,78
3.85,148,1,84
3.43,159,1,75
3.6,156,0,70
3.87,144,1,81
2.84,144,1,68
3.11,158,0,62
3.35,153,1,75
3.47,146,0,62
3.48,149,1,77
3.5,150,0,61
3.27,150,0,57
3.51,143,1,71
3.52,145,0,59
3.69,156,1,86
3.44,152,1,69
3.66,151,0,66
3.54,151,0,55
3.51,153,1,76
3.64,160,1,84
3.77,147,0,58
3.32,144,1,70
3.49,152,1,67
3.41,139,1,73
3.59,156,1,80
3.15,140,1,71
4,148,1,74
3.43,155,0,72
3.4,156,1,78
3.81,150,1,71
3.2,148,1,74
3.42,147,0,60
3.4,158,1,74
3.85,160,0,77
3.29,152,1,64
3.61,145,0,69
2.98,153,1,74
3.68,149,1,73
3.19,155,0,62
3.35,153,1,70
3.35,142,1,73
3.4,148,1,79
3.5,149,1,79
3.39,140,1,66
3.64,159,0,70
3.54,150,1,71
3.99,160,1,84
3.77,154,0,67
3.54,142,1,81
2.93,146,0,64
3.4,162,1,79
3.85,144,1,73
3.38,142,0,54
3.62,145,0,62
3.42,149,1,79
3.56,156,1,86
3.82,157,0,68
3.67,153,0,67
3.48,155,1,79
3.36,156,0,62
3.45,159,0,65
3.52,139,0,64
3.45,152,0,63
3.51,153,0,73
3.17,155,0,67
3.05,155,1,72
3.5,164,0,70
3.76,162,0,77
3.29,151,0,55
3.32,156,1,80
3.5,158,0,67
3.83,161,0,73
3.43,153,1,73
3.26,149,0,66
3.13,154,1,73
3.7,149,0,71
3.19,155,0,76
3.16,154,1,71
3.67,147,0,66
3.75,150,0,68
3.29,135,0,55
3.27,149,0,59
3.74,155,1,83
3.7,150,1,80
3.12,137,1,67
3.63,154,0,64
3.4,153,0,69
3.53,152,0,65
3.11,138,0,58
3.28,135,1,66
3.86,141,1,65
3.69,146,1,69
3.41,141,0,61
3.53,147,0,61
3.69,158,0,70
3.69,148,0,65
3.24,137,0,56
3.58,156,0,75
3.13,142,1,64
3.55,142,1,73
3.27,147,1,73
3.46,152,1,74
3.84,156,0,81
3.82,158,0,68
3.16,149,0,60
3.34,154,0,60
3.14,142,1,71
3.52,141,1,68
3.27,143,1,76
3.6,148,0,71
3.45,150,0,65
3.57,152,0,64
3.66,156,1,79
3.45,159,1,84
3.84,163,0,75
3.58,144,1,71
3.62,150,0,63
3.93,154,0,68
2.96,146,1,64
3.15,151,1,69
3.62,144,1,76
3.53,139,1,67
3.47,145,1,68
3.4,147,0,63
3.46,153,0,69
3.36,146,1,80
3.15,144,0,59
3.57,150,0,72
3.7,146,1,78
3.46,156,0,65
3.63,145,1,72
3.4,146,0,65
3.22,154,0,56
3.57,159,0,71
3.07,153,0,61
3.75,158,1,80
3.05,143,1,68
3.08,153,1,74
3.34,145,1,73
3.14,145,1,76
3.51,145,1,73
3.79,159,1,83
3.71,155,0,76
3.7,149,0,73
3.26,141,0,58
3.59,152,1,81
3.41,161,0,69
3.79,144,1,71
3.73,145,0,67
3.67,150,1,76
3.42,146,1,67
3.66,147,1,64
3.58,150,1,82
3.68,146,1,77
3.71,147,0,66
3.49,143,1,78
3.33,139,1,69
3.89,159,1,86
2.98,141,0,59
3.53,156,0,68
3.34,140,1,71
3.37,160,1,78
3.17,143,0,58
3.63,154,0,71
3.59,156,0,73
3.16,157,1,74
3.34,154,0,69
3.34,155,0,64
3.67,166,0,73
3.79,166,0,75
3.71,151,1,74
3.3,150,1,78
3.64,153,0,66
3.95,150,0,67
3.67,149,1,81
3.62,153,0,64
3.39,153,1,75
3.73,151,1,80
3.36,143,1,74
3.82,154,0,79
3.23,138,0,52
3.71,146,0,68
3.51,153,1,70
3.48,149,0,62
3.32,162,1,77
3.57,155,0,62
3.55,154,1,75
3.73,155,0,68
3.54,153,0,66
3,147,1,67
3.27,155,1,75
3.3,153,1,72
3.57,151,1,77
3.84,149,1,79
3.6,161,0,72
3.95,155,0,75
3.11,148,1,69
3.43,152,0,58
3.43,150,0,63
3.88,145,0,65
3.75,147,0,72
3.17,145,1,80
3.45,150,1,65
3.41,155,0,60
3.2,150,0,70
3.78,159,0,76
3.85,146,0,64
3.54,158,1,80
3.17,153,0,73
3.28,136,1,59
3.72,152,1,80
3.64,159,0,65
3.55,141,1,69
3.67,168,0,82
3.19,156,1,76
3.56,141,0,52
3.75,146,1,77
3.53,154,1,74
3.82,143,1,75
3.16,147,1,66
3.48,154,1,79
3.72,156,0,68
2.83,147,1,66
3.9,161,0,78
3.57,155,0,61
3.68,160,0,75
3.49,143,0,60
3.67,143,1,75
2.93,146,1,62
3.63,143,1,70
3.81,161,0,78
3.23,148,0,68
3.33,153,0,65
3.54,150,0,61
3.65,149,0,64
3.58,149,1,76
3.89,159,0,80
3.76,152,1,74
3.48,165,0,73
3.23,143,1,71
3.38,161,0,72
3.33,152,0,69
3.67,154,1,86
3.38,154,0,64
3.48,149,0,70
3.5,159,0,66
3.96,146,0,67
3.34,150,1,72
3.33,157,0,70
3.09,143,1,69
3.76,152,0,69
3.82,149,1,73
3.56,156,1,83
3.36,140,1,75
3.86,156,0,68
3.41,153,0,70
3.67,149,0,65
3.28,152,1,78
3.67,148,1,75
3.16,134,1,63
3.95,155,1,79
3.62,149,0,69
3.77,158,0,73
3.8,165,1,81
3.2,140,1,73
3.35,143,1,71
3.22,152,0,63
3.57,155,0,68
3.3,148,0,63
3.6,152,1,76
3.52,151,1,72
3.3,145,1,69
3.72,148,1,74
3.42,147,0,57
3.59,146,1,77
3.58,152,0,66
3.48,156,1,74
3.31,149,1,73
3.42,153,0,69
3.72,155,1,78
3.36,137,1,73
3.79,168,0,80
3.86,141,0,60
3.36,145,0,66
3.36,148,1,77
3.44,139,1,65
3.55,144,1,78
3.38,140,1,74
3.66,168,0,65
3.35,141,1,76
2.78,161,0,59
3.77,159,0,71
3.98,157,1,79
3.48,144,1,69
3.32,149,1,67
3.17,149,1,71
3.44,142,1,78
3.77,155,0,77
3.78,155,1,82
3.21,155,1,68
3.65,151,1,84
3.45,151,0,65
3.59,155,1,81
3.68,148,0,66
3.58,167,1,87
3.73,148,1,76
3.55,164,1,80
3.7,146,0,69
3.61,159,0,56
3.37,147,0,57
3.19,144,1,74
3.51,159,0,73
3.86,155,0,70
3.04,139,1,54
3.57,158,0,71
3.41,148,1,75
3.3,137,0,57
3.43,154,1,71
3.86,151,0,70
3.45,153,0,75
3.51,145,1,77
3.13,138,1,69
3.95,147,1,73
3.42,146,1,79
3.51,162,0,70
3.47,155,0,67
3.92,164,0,76
2.87,142,0,46
3.69,155,0,67
3.07,147,0,56
3.61,147,0,59
3.59,153,1,70
3.43,143,1,75
3.17,149,0,67
3.76,152,0,70
3.15,147,1,71
3.35,155,1,82
3.2,161,0,70
3.78,155,0,71
3.13,156,0,62
3.21,154,1,73
3.44,145,1,71
3.55,146,1,67
3.42,156,0,56
3.86,160,0,70
3.41,147,1,66
3.76,144,1,75
3.47,157,1,80
3.5,165,0,73
3.26,150,1,67
3.74,151,0,68
3.66,152,1,77
3.77,162,1,85
3.47,158,0,64
3.42,148,1,71
3.68,147,0,63
3.61,154,1,76
3.34,147,1,73
3.48,155,1,74
3.08,143,1,67
3.64,169,1,88
3.57,146,1,73
3.53,156,1,74
3.53,146,0,57
3.04,149,1,74
3.34,157,0,61
3.4,146,1,75
3.62,162,0,73
3.74,154,0,67
3.24,142,1,70
3.66,140,1,70
3.38,156,0,69
3.5,153,0,62
3.44,154,1,75
3.26,161,1,73
3.92,151,1,84
3.5,145,1,72
3.67,156,0,68
3.34,142,0,68
3.44,151,1,72
3.48,145,0,63
3.46,149,0,63
3.68,155,0,67
3.09,136,0,56
3.42,145,0,61
3.3,156,0,70
3.49,160,0,74
3.07,145,0,62
3.41,152,1,72
3.02,140,1,57
3.73,150,1,82
3.43,147,1,78
3.46,162,1,78
3.62,148,0,64
3.04,146,0,62
3.16,143,1,76
3.85,147,1,69
3.12,150,1,72
3.51,170,0,74
3.65,139,0,54
3.28,145,1,73
3.4,148,1,72
3.68,148,0,65
3.31,144,0,69
3.79,157,0,75
3.24,157,0,70
3.48,162,0,69
3.21,156,1,71
3.15,141,1,68
3.69,144,1,71
3.42,144,0,60
3.78,150,0,62
3.76,142,0,57
3.52,143,0,63
3.28,130,1,64
3.19,149,1,69
3.85,151,0,77
3.16,148,1,73
3.25,163,0,68
3.35,151,0,68
3.41,154,1,78
3.23,154,0,70
3.38,138,1,59
3.29,144,1,71
2.9,136,1,70
3.47,146,1,65
3.92,157,0,70
3.43,145,1,70
3.39,154,0,71
3.71,145,1,71
3.13,147,0,56
3.06,146,1,73
3.8,158,0,77
3.1,137,1,58
3.75,156,0,81
3.44,155,0,68
3.01,149,1,71
3.74,156,0,71
3.73,160,0,77
3.23,145,0,66
3.48,144,1,70
3.96,164,0,68
3.46,146,0,69
3.6,141,1,72
3.05,160,0,68
3.45,160,0,69
3.25,146,1,68
3.33,153,1,69
3.29,160,0,76
3.61,151,0,66
3.43,149,0,63
3.8,151,0,75
3.72,153,0,67
3.8,143,1,78
3.78,163,0,76
3.7,146,1,77
3.21,160,0,63
3.33,157,0,67
3.74,152,0,69
3.5,145,1,77
3.28,150,0,61
3.4,149,1,72
3.6,161,0,68
3.69,148,1,78
3.53,153,0,65
3.71,164,0,78
3.66,147,0,71
3.72,154,0,73
3.17,143,0,50
3.44,157,1,80
3.34,159,1,75
3.4,151,0,65
3.36,149,0,58
3.35,148,1,77
3.57,146,1,74
2.91,149,1,68
3.96,150,1,77
3.6,159,1,83
3.22,147,1,67
3.12,160,1,70
3.55,156,1,72
3.14,142,1,69
3.4,153,0,68
3.3,147,0,61
3.52,159,1,76
2.97,145,0,55
3.21,139,1,72
3.7,149,1,74
3.16,148,0,67
3.71,151,0,74
3.54,153,0,62
3.47,151,0,61
3.63,157,1,77
3.76,138,1,76
3.75,149,0,68
3.88,164,0,82
3.69,146,1,76
3.27,137,0,54
3.84,140,0,67
3.34,156,0,71
3.58,152,1,79
3.5,154,1,70
3.95,158,0,68
3.72,144,0,62
3.41,148,1,71
3.36,159,1,78
3.31,154,0,66
3.52,155,1,80
3.43,141,0,49
3.56,152,1,79
3.38,144,0,61
3.74,151,0,75
3.04,141,1,66
3.48,148,0,61
3.63,150,1,71
3.35,136,1,66
3.28,146,1,66
3.59,153,1,77
3.68,141,1,71
2.94,144,0,57
3.72,142,1,68
3.87,149,0,69
3.5,141,1,66
2.98,137,1,60
3.68,156,1,87
3.4,145,1,74
3.48,148,0,65
3.26,160,0,65
3.3,146,0,61
3.43,143,1,68
3.44,155,0,70
3.35,151,0,67
3.68,145,0,65
3.62,157,1,83
3.98,163,0,74
3.4,152,1,80
3.32,147,1,71
3.48,149,0,64
3.27,157,0,65
3.24,158,0,67
3.44,148,1,72
3.53,151,1,69
3.05,143,1,66
3.37,143,0,57
3.29,150,0,66
3.74,149,0,73
3.64,152,0,69
3.7,167,0,74
3.27,138,1,66
3.44,145,0,67
3.43,154,0,68
3.21,145,1,62
3.25,151,0,55
3.57,149,1,73
3.42,150,1,79
3.23,158,1,77
3.46,147,0,64
3.3,145,1,57
3.3,142,0,58
3.25,156,0,67
3.38,153,1,73
3.34,162,1,81
3,145,1,59
3.01,151,0,61
3.4,156,0,71
3.31,138,1,70
3.69,137,1,63
3.15,146,1,71
3.13,155,0,64
3.66,152,1,80
3.7,162,1,89
3.48,141,1,71
3.66,150,0,73
3.23,141,0,63
