"","def_zip","n","zip_char"
"1","00718",1,"""00718"""
"2","00959",1,"""00959"""
"3","01040",1,"""01040"""
"4","01077",1,"""01077"""
"5","01201",1,"""01201"""
"6","01606",1,"""01606"""
"7","01810",1,"""01810"""
"8","01813",1,"""01813"""
"9","02121",1,"""02121"""
"10","02125",1,"""02125"""
"11","02126",1,"""02126"""
"12","02145",1,"""02145"""
"13","02149",1,"""02149"""
"14","02151",1,"""02151"""
"15","02190",2,"""02190"""
"16","02351",1,"""02351"""
"17","02809",1,"""02809"""
"18","02904",1,"""02904"""
"19","03102",1,"""03102"""
"20","06053",1,"""06053"""
"21","06067",1,"""06067"""
"22","06117",1,"""06117"""
"23","06890",1,"""06890"""
"24","07103",1,"""07103"""
"25","07106",1,"""07106"""
"26","07111",1,"""07111"""
"27","07112",1,"""07112"""
"28","07501",1,"""07501"""
"29","07601",1,"""07601"""
"30","07627",1,"""07627"""
"31","07628",1,"""07628"""
"32","07726",3,"""07726"""
"33","07940",1,"""07940"""
"34","08053",1,"""08053"""
"35","08077",1,"""08077"""
"36","08081",1,"""08081"""
"37","08088",1,"""08088"""
"38","08330",1,"""08330"""
"39","08332",1,"""08332"""
"40","08722",2,"""08722"""
"41","08861",2,"""08861"""
"42","08901",2,"""08901"""
"43","10002",1,"""10002"""
"44","10029",1,"""10029"""
"45","10030",2,"""10030"""
"46","10031",1,"""10031"""
"47","10032",2,"""10032"""
"48","10033",1,"""10033"""
"49","10040",1,"""10040"""
"50","10044",1,"""10044"""
"51","10451",1,"""10451"""
"52","10452",1,"""10452"""
"53","10456",3,"""10456"""
"54","10458",1,"""10458"""
"55","10465",1,"""10465"""
"56","10470",1,"""10470"""
"57","10472",1,"""10472"""
"58","10473",1,"""10473"""
"59","10474",1,"""10474"""
"60","10510",1,"""10510"""
"61","10550",1,"""10550"""
"62","10583",1,"""10583"""
"63","10601",1,"""10601"""
"64","10801",1,"""10801"""
"65","10980",1,"""10980"""
"66","11015",1,"""11015"""
"67","11026",1,"""11026"""
"68","11053",1,"""11053"""
"69","11103",1,"""11103"""
"70","11111",6,"""11111"""
"71","11204",1,"""11204"""
"72","11206",2,"""11206"""
"73","11210",1,"""11210"""
"74","11212",2,"""11212"""
"75","11213",1,"""11213"""
"76","11216",1,"""11216"""
"77","11226",1,"""11226"""
"78","11232",3,"""11232"""
"79","11354",2,"""11354"""
"80","11355",10,"""11355"""
"81","11357",3,"""11357"""
"82","11358",1,"""11358"""
"83","11365",1,"""11365"""
"84","11373",1,"""11373"""
"85","11375",1,"""11375"""
