"","def_zip","n","zip_char"
"1","00718",1,"""00718"""
"2","00959",1,"""00959"""
"3","00985",1,"""00985"""
"4","01040",1,"""01040"""
"5","01077",1,"""01077"""
"6","01201",1,"""01201"""
"7","01606",1,"""01606"""
"8","01810",1,"""01810"""
"9","01813",1,"""01813"""
"10","01850",1,"""01850"""
"11","01902",1,"""01902"""
"12","02121",1,"""02121"""
"13","02125",1,"""02125"""
"14","02126",1,"""02126"""
"15","02127",1,"""02127"""
"16","02145",1,"""02145"""
"17","02149",1,"""02149"""
"18","02151",1,"""02151"""
"19","02190",5,"""02190"""
"20","02351",1,"""02351"""
"21","02809",1,"""02809"""
"22","02904",1,"""02904"""
"23","03102",1,"""03102"""
"24","04073",1,"""04073"""
"25","04530",2,"""04530"""
"26","05301",1,"""05301"""
"27","06035",2,"""06035"""
"28","06053",1,"""06053"""
"29","06066",1,"""06066"""
"30","06067",1,"""06067"""
"31","06117",1,"""06117"""
"32","06890",1,"""06890"""
"33","07026",1,"""07026"""
"34","07065",1,"""07065"""
"35","07103",1,"""07103"""
"36","07106",1,"""07106"""
"37","07107",1,"""07107"""
"38","07111",1,"""07111"""
"39","07112",1,"""07112"""
"40","07501",1,"""07501"""
"41","07601",1,"""07601"""
"42","07627",1,"""07627"""
"43","07628",1,"""07628"""
"44","07726",3,"""07726"""
"45","07940",1,"""07940"""
"46","08010",3,"""08010"""
"47","08053",3,"""08053"""
"48","08077",1,"""08077"""
"49","08081",1,"""08081"""
"50","08088",1,"""08088"""
"51","08330",1,"""08330"""
"52","08332",1,"""08332"""
"53","08648",1,"""08648"""
"54","08722",2,"""08722"""
"55","08812",1,"""08812"""
"56","08861",2,"""08861"""
"57","08901",3,"""08901"""
"58","10002",1,"""10002"""
"59","10009",1,"""10009"""
"60","10010",2,"""10010"""
"61","10024",2,"""10024"""
"62","10029",1,"""10029"""
"63","10030",2,"""10030"""
"64","10031",1,"""10031"""
"65","10032",3,"""10032"""
"66","10033",2,"""10033"""
"67","10036",2,"""10036"""
"68","10039",1,"""10039"""
"69","10040",1,"""10040"""
"70","10044",1,"""10044"""
"71","10128",1,"""10128"""
"72","10451",1,"""10451"""
"73","10452",1,"""10452"""
"74","10453",3,"""10453"""
"75","10456",9,"""10456"""
"76","10458",2,"""10458"""
"77","10465",1,"""10465"""
"78","10466",1,"""10466"""
"79","10468",1,"""10468"""
"80","10470",1,"""10470"""
"81","10472",1,"""10472"""
"82","10473",1,"""10473"""
"83","10474",1,"""10474"""
"84","10510",1,"""10510"""
"85","10550",2,"""10550"""
